"ExperimentalGroup","AnimalID","BS_Original","Treatment","Count"
"BlueMoon","WAF041","Helper","Sub",1
"BlueMoon","WAF045","Helper","Sub",1
"Firestone","SOF002","Helper","Sub",1
"Firestone","SOF006","Helper","Sub",1
"GhostShip","MBF003","Helper","Sub",1
"GhostShip","MBF006","Helper","Sub",1
"Hoodoo","GOF035","Helper","Sub",1
"Kasteel","ORF005","Helper","Sub",1
"Kasteel","ORF018","Helper","Sub",1
"Trolls","CUF012","Helper","Sub",1
"Trolls","CUF031","Helper","Sub",1
"DevilsPeak","DVF048","Helper","Sub",2
"DevilsPeak","DVF061","Helper","Sub",2
"DjuDju","MIF012","Helper","Sub",2
"DjuDju","MIF016","Helper","Sub",2
"Hoodoo","GOF040","Helper","Sub",2
"DarlingBrew","RRF006","Helper","Sub",3
"DarlingBrew","RRF010","Helper","Sub",3
"Delirium","PPF007","Helper","Sub",3
"Delirium","PPF009","Helper","Sub",3
"Bitburger","MBF004","Helper","Queen",1
"Corbeau","SOF001","Helper","Queen",1
"Guinness","RSF008","Helper","Queen",1
"WicklowWolf","ORF017","Helper","Queen",1
"Angol","DVF047","Helper","Queen",2
"BlackLabel","TMF002","Helper","Queen",2
"Stella","MIF008","Helper","Queen",2
"Chouffe","PPF008","Helper","Queen",3
"Corona","ABF002","Helper","Queen",3
"Licher","RRF004","Helper","Queen",3
"Tusker","KBF006","Helper","Queen",3
"Licher","VGF001","Breeder","Queen",5
"Tusker","COF014","Breeder","Queen",5
"Corbeau","ARF028","Breeder","Queen",6
"Guinness","DRF015","Breeder","Queen",6
"Bitburger","DRF004","Breeder","Queen",7
"Corona","GOF025","Breeder","Queen",7
"WicklowWolf","VGF002","Breeder","Queen",7
"Angol","WAF002","Breeder","Queen",8
"BlackLabel","Z3F043","Breeder","Queen",8
"Chouffe","WEF005","Breeder","Queen",8
"Stella","TSF048","Breeder","Queen",8
