"Sampling_Cat","ExperimentalUnit","ExperimentalGroup","Treatment","AnimalID","BS_Original","EvictionStatus","UrinePairing_DayDiff","UrineParturition_DayDiff","R1","R2","R3","UrineNumber","NewBox","NewPosition","Vol"
"NoEviction",2,"Tusker","Queen","KBF006","Helper","InGroup",13,-84,"FirstConc",NA,NA,31446,1,4,50
"NoEviction",2,"Tusker","Queen","KBF006","Helper","InGroup",15,-82,"FirstConc",NA,NA,31470,1,1,50
"NoEviction",2,"Tusker","Queen","KBF006","Helper","InGroup",17,-80,"FirstConc",NA,NA,31488,1,2,50
"NoEviction",14,"DevilsPeak","Sub","DVF048","Helper","InGroup",1,-117,"PostPair10",NA,NA,33766,1,55,100
"NoEviction",14,"DevilsPeak","Sub","DVF048","Helper","InGroup",3,-115,"PostPair10",NA,NA,33797,1,46,100
"NoEviction",14,"DevilsPeak","Sub","DVF048","Helper","InGroup",5,-113,"PostPair10",NA,NA,33821,1,50,100
"NoEviction",14,"DevilsPeak","Sub","DVF048","Helper","InGroup",7,-111,"PostPair10",NA,NA,33850,2,1,100
"NoEviction",14,"DevilsPeak","Sub","DVF048","Helper","InGroup",9,-109,"PostPair10",NA,NA,33878,2,5,100
"NoEviction",14,"DevilsPeak","Sub","DVF048","Helper","InGroup",13,-105,"RA",NA,NA,33932,2,3,100
"NoEviction",14,"DevilsPeak","Sub","DVF048","Helper","InGroup",19,-99,"FirstConc",NA,NA,34013,1,77,100
"NoEviction",14,"DevilsPeak","Sub","DVF048","Helper","InGroup",22,-96,"FirstConc",NA,NA,34055,2,2,100
"NoEviction",14,"DevilsPeak","Sub","DVF048","Helper","InGroup",29,-89,"FirstConc","RA",NA,34160,2,11,50
"NoEviction",14,"DevilsPeak","Sub","DVF048","Helper","InGroup",35,-83,"FirstConc",NA,NA,34248,2,12,50
"NoEviction",14,"DevilsPeak","Sub","DVF061","Helper","InGroup",1,-440,"PostPair10",NA,NA,33773,1,58,100
"NoEviction",14,"DevilsPeak","Sub","DVF061","Helper","InGroup",3,-438,"PostPair10",NA,NA,33792,1,64,100
"NoEviction",14,"DevilsPeak","Sub","DVF061","Helper","InGroup",5,-436,"PostPair10",NA,NA,33819,1,53,100
"NoEviction",14,"DevilsPeak","Sub","DVF061","Helper","InGroup",7,-434,"PostPair10",NA,NA,33854,1,68,100
